---------------------------------------------------------
Time	|	PC 	 | AluIn1	| AluIn2	| AluOut	|
---------------------------------------------------------
  0.0 	| xxxxxxxx |xxxxxxxx 	|xxxxxxxx 	|xxxxxxxx 	| 
  2.4 	| 000003c0 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003c4 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003c8 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003cc |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003d0 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003d4 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003d8 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003dc |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003e0 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003e4 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003e8 |00000000 	|00000000 	|00000000 	| 
  2.5 	| 000003ec |00000000 	|00000000 	|00000000 	| 
  2.6 	| 000003f0 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 000003f4 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 000003f8 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 000003fc |00000000 	|00000000 	|00000000 	| 
  2.6 	| 00000400 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 00000404 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 00000408 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 0000040c |00000000 	|00000000 	|00000000 	| 
  2.6 	| 00000410 |00000000 	|00000000 	|00000000 	| 
  2.6 	| 00000414 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000418 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 0000041c |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000420 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000424 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000428 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 0000042c |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000430 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000434 |00000000 	|00000000 	|00000000 	| 
  2.7 	| 00000438 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 0000043c |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000440 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000444 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000448 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 0000044c |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000450 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000454 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000458 |00000000 	|00000000 	|00000000 	| 
  2.8 	| 0000045c |00000000 	|00000000 	|00000000 	| 
  2.8 	| 00000460 |00000000 	|00000000 	|00000000 	| 
  2.9 	| 00000464 |00000000 	|00000000 	|00000000 	| 
